rank,action_id,action_name,action_category,execution_mode,status,composite_score,profit_impact_score,time_saved_score,risk_score,owner,enabled
55,ACT-0055,Due Diligence Room Organization,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
56,ACT-0056,New Contact Onboarding to CRM,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
57,ACT-0057,Lease Expiry Tracker,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
58,ACT-0058,Equipment Maintenance Reminder,execution_control,manual_only,proposed,0.6,5,5,3,,False
59,ACT-0059,Staff Onboarding Checklist Automation,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
60,ACT-0060,Quarterly Business Review Draft,ceo_leverage,manual_only,proposed,0.6,5,5,3,,False
61,ACT-0061,Key Person Risk Monitor,ceo_leverage,manual_only,proposed,0.6,5,5,3,,False
62,ACT-0062,Land Acquisition Pipeline Review,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
63,ACT-0063,Title Search Status Tracker,execution_control,manual_only,proposed,0.6,5,5,3,,False
64,ACT-0064,Survey Completion Monitor,execution_control,manual_only,proposed,0.6,5,5,3,,False
65,ACT-0065,Insurance Certificate Tracker,execution_control,manual_only,proposed,0.6,5,5,3,,False
66,ACT-0066,NDA Expiry Monitor,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
67,ACT-0067,LOI Conversion Follow-Up,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
68,ACT-0068,Regulatory Change Digest,execution_control,manual_only,proposed,0.6,5,5,3,,False
69,ACT-0069,Meeting Recorder and Transcript Intake,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
70,ACT-0070,Staff Weekly Update Request,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
71,ACT-0071,Project Budget vs Actual Monthly Report,execution_control,manual_only,proposed,0.6,5,5,3,,False
72,ACT-0072,Debt Covenant Monitor,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
73,ACT-0073,Lender Communication Follow-Up,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
74,ACT-0074,Environmental Study Status Tracker,execution_control,manual_only,proposed,0.6,5,5,3,,False
75,ACT-0075,EPC Contract Milestone Monitor,execution_control,manual_only,proposed,0.6,5,5,3,,False
76,ACT-0076,Annual Review Reminder,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
77,ACT-0077,Holiday Coverage Planning,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
78,ACT-0078,Strategic Initiative Progress Tracker,ceo_leverage,manual_only,proposed,0.6,5,5,3,,False
79,ACT-0079,Partnership Agreement Renewal Tracker,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
80,ACT-0080,Tax Deadline Calendar,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
81,ACT-0081,Interconnection Study Follow-Up,execution_control,manual_only,proposed,0.6,5,5,3,,False
82,ACT-0082,Energy Storage Project Tracker,execution_control,manual_only,proposed,0.6,5,5,3,,False
83,ACT-0083,Landowner Communication Log,execution_control,manual_only,proposed,0.6,5,5,3,,False
84,ACT-0084,Site Control Expiry Tracker,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
85,ACT-0085,County Approval Status Monitor,execution_control,manual_only,proposed,0.6,5,5,3,,False
86,ACT-0086,Market Pricing Comparison Generator,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
87,ACT-0087,Proposal Version Control,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
88,ACT-0088,Meeting Cost Calculator,ceo_leverage,manual_only,proposed,0.6,5,5,3,,False
89,ACT-0089,Communication Tone Review,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
90,ACT-0090,Legal Hold Notification,execution_control,manual_only,proposed,0.6,5,5,3,,False
91,ACT-0091,Data Room Access Log Review,execution_control,manual_only,proposed,0.6,5,5,3,,False
92,ACT-0092,Bank Reconciliation Reminder,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
93,ACT-0093,Counterparty Credit Check,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
94,ACT-0094,Project IRR Recalculation Trigger,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
95,ACT-0095,Staff Capacity Utilization Report,ceo_leverage,manual_only,proposed,0.6,5,5,3,,False
96,ACT-0096,Press Release Draft,ceo_leverage,manual_only,proposed,0.6,5,5,3,,False
97,ACT-0097,RFP Response Draft,revenue_acceleration,manual_only,proposed,0.6,5,5,3,,False
98,ACT-0098,Lessons Learned Capture,execution_control,manual_only,proposed,0.6,5,5,3,,False
99,ACT-0099,Vendor Contract Renewal Tracker,execution_control,manual_only,proposed,0.6,5,5,3,,False
100,ACT-0100,Knowledge Base Gap Detection,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
